state,district,market,commodity,modal_price
Uttarakhand,Haridwar,Roorkee APMC,Carrot,750.0
Uttarakhand,Haridwar,Roorkee APMC,Tomato,1600.0
Gujarat,Mehsana,Mehsana APMC,Wheat,2250.0
Gujarat,Mehsana,Mehsana APMC,Castor Seed,6450.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Banana,800.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Drumstick,3000.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Cabbage,600.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Water Melon,600.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Chikoos(Sapota),3500.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Ginger(Green),3000.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Bottle gourd,1600.0
Uttar Pradesh,Balrampur,Utraula APMC,Wood,450.0
Uttar Pradesh,Balrampur,Utraula APMC,Paddy(Common),2116.71
Gujarat,Gandhinagar,Kalol APMC,Mustard,6575.0
Madhya Pradesh,Badwani,Sendhwa APMC,Wheat,2180.0
Rajasthan,Kota,Manohararthana APMC,Wheat,2220.0
Uttar Pradesh,Sitapur,Sidhauli APMC,Rab/Liquid Jaggery/Molasses,3000.0
Uttar Pradesh,Sitapur,Sidhauli APMC,Wood,700.0
Uttar Pradesh,Sitapur,Sidhauli APMC,Mustard,5939.01
Uttar Pradesh,Aligarh,Aligarh APMC,Wheat,2451.68
Uttar Pradesh,Aligarh,Aligarh APMC,Paddy(Common),4000.0
Madhya Pradesh,Shivpuri,Karera(F&V) APMC,Banana,1700.0
Madhya Pradesh,Shivpuri,Karera(F&V) APMC,Water Melon,1200.0
Madhya Pradesh,Rewa,Rewa(F&V) APMC,Potato,500.0
Madhya Pradesh,Morena,Sabalgarh(F&V) APMC,Tomato,1000.0
Madhya Pradesh,Morena,Sabalgarh(F&V) APMC,Green Chilli,2750.0
Madhya Pradesh,Morena,Sabalgarh(F&V) APMC,Cucumbar(Kheera),1000.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Green Chilli,5000.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Cucumbar(Kheera),600.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Pineapple,4600.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Beetroot,1500.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Spinach,1200.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Potato,700.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Sponge gourd,4800.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Bhindi(Ladies Finger),6000.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Raddish,1300.0
Uttar Pradesh,Aligarh,Atrauli APMC,Cabbage,1050.0
Assam,Kamrup,Fancy Bazaar APMC,Turmeric(raw),17000.0
Assam,Kamrup,Fancy Bazaar APMC,Green Gram Dal(Moong Dal),7100.0
Assam,Kamrup,Fancy Bazaar APMC,Mustard Oil,18333.33425
Uttar Pradesh,Ayodhya,Ayodhya APMC,Mustard,5000.0
Uttar Pradesh,Ayodhya,Ayodhya APMC,Firewood,390.0
Uttar Pradesh,Ayodhya,Ayodhya APMC,Rice,2300.0
Uttar Pradesh,Azamgarh,Azamgarh APMC,Mustard,9180.0
Uttar Pradesh,Badaun,Babrala APMC,Wheat,2600.0
Gujarat,Surat,Vyra APMC,"Sesamum(Sesame,Gingelly,Til)",17875.0
Gujarat,Gandhinagar,Dehgam APMC,Bajra(Pearl Millet/Cumbu),2062.0
Gujarat,Banaskanth,Palanpur APMC,Castor Seed,6362.0
Gujarat,Navsari,Bilimora APMC,Bhindi(Ladies Finger),2800.0
Gujarat,Navsari,Bilimora APMC,Cabbage,700.0
Gujarat,Navsari,Bilimora APMC,Cauliflower,1800.0
Gujarat,Gandhinagar,Mansa APMC,Kabuli Chana(Chickpeas-White),5040.0
Gujarat,Sabarkantha,APMCKHEDBRAHMA,Castor Seed,6250.0
West Bengal,Nadia,Karimpur APMC,Rice,4900.0
West Bengal,Nadia,Karimpur APMC,Jute,11200.0
West Bengal,Nadia,Karimpur APMC,Mustard,6500.0
Madhya Pradesh,Badwani,Sendhwa(F&V) APMC,Carrot,1500.0
West Bengal,Bankura,Bishnupur(Bankura) APMC,Mustard,6400.0
Gujarat,Mehsana,Kadi APMC,Kulthi(Horse Gram),5000.0
Gujarat,Mehsana,Kadi APMC,Wheat,2300.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Chikoos(Sapota),3900.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Bitter gourd,3400.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Amaranthus,2400.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Green Chilli,3900.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Raddish,1300.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Mint(Pudina),5750.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Cauliflower,2750.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Coriander(Leaves),2250.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Papaya,2750.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Tomato,1550.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Pumpkin,1750.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Beetroot,4750.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Ginger(Green),6500.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Beetroot,2500.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Cucumbar(Kheera),2250.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Mango(Raw-Ripe),2750.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Tender Coconut,2500.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Colacasia,3000.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Coriander(Leaves),3600.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Tomato,1400.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Cluster beans,4000.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Bitter gourd,3600.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Bhindi(Ladies Finger),3600.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Green Chilli,4600.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Cowpea(Veg),4000.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Banana - Green,3500.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Beans,4600.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Carrot,3600.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Ridgeguard(Tori),3600.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Lemon,10000.0
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Banana - Green,3000.0
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Onion Green,5000.0
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Drumstick,2750.0
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Mint(Pudina),4750.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Garlic,16500.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Coriander(Leaves),2900.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Water Melon,1650.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Cucumbar(Kheera),4850.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Capsicum,6700.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Drumstick,2250.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Mango(Raw-Ripe),4750.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Papaya,3250.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Tomato,1750.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Ashgourd,1750.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Raddish,2750.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Lemon,15750.0
Punjab,Ropar (Rupnagar),Morinda APMC,Banana,2500.0
Punjab,Ropar (Rupnagar),Morinda APMC,Cabbage,400.0
Punjab,Ropar (Rupnagar),Morinda APMC,Chikoos(Sapota),4000.0
Punjab,Ropar (Rupnagar),Morinda APMC,Bottle gourd,1500.0
Punjab,Ropar (Rupnagar),Morinda APMC,Cucumbar(Kheera),2250.0
Punjab,Ropar (Rupnagar),Morinda APMC,Raddish,700.0
Punjab,Ropar (Rupnagar),Morinda APMC,Sweet Pumpkin,1000.0
Madhya Pradesh,Ratlam,Jawra(F&V) APMC,Methi(Leaves),1400.0
Madhya Pradesh,Ratlam,Jawra(F&V) APMC,Ginger(Green),3800.0
Uttar Pradesh,Bahraich,Bahraich APMC,Paddy(Common),1850.0
Uttar Pradesh,Bahraich,Bahraich APMC,Wheat,2430.0
Uttar Pradesh,Bahraich,Bahraich APMC,Rice,2735.09
Uttar Pradesh,Bahraich,Bahraich APMC,Wood,584.93
Uttar Pradesh,Bahraich,Bahraich APMC,Wheat,2442.07
Uttar Pradesh,Bahraich,Bahraich APMC,Paddy(Common),1850.0
West Bengal,Medinipur(W),Ghatal APMC,Onion,1630.0
West Bengal,Coochbehar,Haldibari APMC,Potato,800.0
West Bengal,Bankura,Indus(Bankura Sadar) APMC,Green Chilli,5200.0
West Bengal,Medinipur(E),Kolaghat APMC,Rice,3700.0
West Bengal,Medinipur(E),Kolaghat APMC,Tube Rose(Loose),7500.0
Uttar Pradesh,Balrampur,Balrampur APMC,Paddy(Common),1800.0
Uttar Pradesh,Balrampur,Balrampur APMC,Wood,523.05
Uttar Pradesh,Balrampur,Balrampur APMC,Paddy(Common),1750.65
Uttar Pradesh,Banda,Banda APMC,Masur Dal,6400.0
Uttar Pradesh,Banda,Banda APMC,Wheat,2600.0
Uttar Pradesh,Banda,Banda APMC,Peas(Dry),4292.19
Uttar Pradesh,Barabanki,Barabanki APMC,Wood,575.0
Uttar Pradesh,Barabanki,Barabanki APMC,Paddy(Common),2200.0
Uttar Pradesh,Barabanki,Barabanki APMC,Paddy(Common),2000.0
Uttar Pradesh,Bareilly,Bareilly APMC,Mentha Oil,105000.0
Uttar Pradesh,Bareilly,Bareilly APMC,Khandsari(Desi Khand),4082.18
Uttar Pradesh,Basti,Basti APMC,Wheat,2450.0
Uttar Pradesh,Basti,Basti APMC,Wheat,2450.0
Uttar Pradesh,Hamirpur,Bharuasumerpur APMC,Firewood,400.0
